City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kone,-21.0595,164.8658,298.53,84,31,0.91,NC,1704542082
83,iskateley,67.6803,53.1512,257.05,95,73,3.13,RU,1704542085
84,tiksi,71.6872,128.8694,240.23,98,50,3.46,RU,1704542087
85,sisimiut,66.9395,-53.6735,261.1,88,100,2.95,GL,1704542088
86,capo d'orlando,38.1435,14.7305,291.71,70,85,8.79,IT,1704542088
87,vorgashor,67.5833,63.95,254.92,98,100,5.65,RU,1704542089
88,bilmak,47.3624,36.6511,276.19,48,86,2.65,UA,1704542090
89,coquimbo,-29.9533,-71.3436,289.0,88,75,2.06,CL,1704542091
90,puerto baquerizo moreno,-0.9,-89.6,297.81,82,99,3.4,EC,1704542092
91,acarau,-2.8856,-40.12,302.22,68,96,5.82,BR,1704542093
92,hamilton,39.1834,-84.5333,274.71,85,100,0.89,US,1704542094
93,usogorsk,63.4106,48.6872,243.52,100,80,1.02,RU,1704542096
94,pithoro,25.5167,69.3833,296.98,21,0,4.2,PK,1704542097
95,anadyr,64.75,177.4833,256.43,85,75,3.0,RU,1704542097
96,vila velha,-20.3297,-40.2925,300.12,79,40,3.58,BR,1704542098
97,orting,47.0979,-122.2043,279.52,93,100,1.79,US,1704542099
98,fale old settlement,-9.3852,-171.2468,301.86,70,98,1.36,TK,1704542100
99,kromy,52.6876,35.7667,264.07,90,100,4.59,RU,1704542100
100,ternate,0.8,127.4,300.49,81,100,1.8,ID,1704542101
101,camayenne,9.535,-13.6878,304.2,58,69,3.09,GN,1704542102
102,kangding,30.0513,101.9603,275.47,91,94,2.0,CN,1704541905
103,chabahar,25.2919,60.643,296.68,57,0,3.82,IR,1704542104
104,kayangel,8.0823,134.7173,302.11,77,98,5.76,PW,1704542105
105,san patricio,28.017,-97.5169,285.07,56,0,1.55,US,1704542105
106,uturoa,-16.7333,-151.4333,298.44,80,100,6.15,PF,1704542106
107,geraldton,-28.7667,114.6,297.38,64,18,7.72,AU,1704541842
108,at taj,24.2049,23.2857,296.85,15,43,4.37,LY,1704542108
109,ketchikan,55.3422,-131.6461,277.14,97,100,2.86,US,1704542109
110,bayevo,53.2833,80.7667,263.25,94,99,3.87,RU,1704542109
111,hammerfest,70.6634,23.6821,270.4,86,100,6.69,NO,1704542110
112,ilulissat,69.2167,-51.1,256.98,77,100,1.33,GL,1704542111
113,flekkefjord,58.2971,6.6607,267.56,66,9,1.99,NO,1704542112
114,thompson,55.7435,-97.8558,249.24,70,100,1.54,CA,1704542112
115,kilindoni,-7.9139,39.6668,301.94,72,44,4.89,TZ,1704542113
116,wailua homesteads,22.0669,-159.378,292.45,84,60,0.92,US,1704542114
117,whitehorse,60.7161,-135.0538,256.93,82,100,1.03,CA,1704542115
118,alice springs,-23.7,133.8833,300.9,70,89,0.0,AU,1704542118
119,nogliki,51.8333,143.1667,247.78,100,19,2.24,RU,1704542119
120,mermoz boabab,14.7065,-17.4758,305.46,42,0,3.09,SN,1704542121
121,khandyga,62.6667,135.6,231.39,100,100,0.56,RU,1704542121
122,cabo san lucas,22.8909,-109.9124,289.6,71,97,2.72,MX,1704542122
123,namibe,-15.1961,12.1522,299.53,59,98,6.19,AO,1704542123
124,flying fish cove,-10.4217,105.6791,298.97,94,100,1.54,CX,1704542124
125,tofol,5.3248,163.0078,301.27,76,100,7.47,FM,1704542125
126,dudinka,69.4058,86.1778,251.27,98,99,5.36,RU,1704542126
127,chui,-33.6971,-53.4616,297.17,67,30,4.59,UY,1704542127
128,al kharijah,25.4514,30.5464,295.64,21,2,2.67,EG,1704542127
129,sagar,23.8333,78.7167,293.29,55,9,3.03,IN,1704542128
130,sungai penuh,-2.0833,101.3833,292.25,99,100,0.65,ID,1704542129
131,georgetown,5.4112,100.3354,302.12,75,40,2.24,MY,1704541864
132,cockburn town,21.4612,-71.1419,298.28,75,27,7.76,TC,1704542131
133,enewetak,11.3474,162.3373,299.59,71,83,7.68,MH,1704542134
134,richards bay,-28.783,32.0377,305.99,48,0,6.73,ZA,1704541863
135,belyy yar,53.6039,91.3903,260.09,85,100,0.0,RU,1704542136
136,tolanaro,-25.0319,46.9987,301.19,78,40,8.23,MG,1704542137
137,vorkuta,67.5,64.0,254.77,98,100,5.77,RU,1704542138
138,dawei,14.0833,98.2,297.84,76,44,1.57,MM,1704542139
139,kingston,17.997,-76.7936,300.68,80,20,6.69,JM,1704541924
140,calvinia,-31.4707,19.776,300.15,20,23,6.18,ZA,1704542143
141,myrzakent,40.6667,68.5333,285.87,34,100,6.1,KZ,1704542144
142,ak-dovurak,51.1833,90.6,254.32,93,95,0.89,RU,1704542145
143,constitucion,-35.3333,-72.4167,290.76,73,40,3.0,CL,1704542146
144,mar del plata,-38.0023,-57.5575,294.31,86,75,5.81,AR,1704542147
145,tazovsky,67.4667,78.7,252.43,97,100,4.64,RU,1704542147
146,katsuura,35.1333,140.3,287.73,59,0,11.76,JP,1704542149
147,chernomorskoye,45.5039,32.6997,283.04,78,100,10.39,UA,1704542150
148,fort mcmurray,56.7268,-111.381,258.92,85,100,2.57,CA,1704542150
149,villa vasquez,19.7411,-71.4464,293.87,91,32,1.98,DO,1704542151
150,taltal,-25.4,-70.4833,293.13,73,2,2.29,CL,1704542152
151,kapuskasing,49.4169,-82.4331,257.2,85,100,6.17,CA,1704542153
152,kolonia,50.9333,6.95,278.63,88,100,3.6,DE,1704541982
153,saint-philippe,-21.3585,55.7679,301.92,89,85,3.85,RE,1704542158
154,mil'kovo,55.6078,37.7956,260.05,93,83,1.89,RU,1704542161
155,badger,64.8,-147.5333,245.93,79,39,0.74,US,1704542165
156,port lincoln,-34.7333,135.8667,292.21,92,83,1.64,AU,1704542167
157,macas,-2.3167,-78.1167,293.77,95,100,1.01,EC,1704542167
